evaluations raw_y
44 -302.0000000000
50 -275.0000000000
71 -269.0000000000
102 -261.0000000000
106 -256.0000000000
122 -234.0000000000
135 -208.0000000000
206 -194.0000000000
215 -161.0000000000
281 -147.0000000000
311 -122.0000000000
317 -69.0000000000
409 -56.0000000000
509 -55.0000000000
511 -23.0000000000
531 -22.0000000000
593 -17.0000000000
626 -10.0000000000
690 -1.0000000000
705 2.0000000000
759 3.0000000000
780 5.0000000000
1397 6.0000000000
5000 -7.0000000000
evaluations raw_y
1 -288.0000000000
3 -235.0000000000
111 -181.0000000000
203 -168.0000000000
231 -108.0000000000
302 -94.0000000000
357 -82.0000000000
413 -21.0000000000
557 -15.0000000000
587 -3.0000000000
757 2.0000000000
827 5.0000000000
1310 6.0000000000
5000 6.0000000000
evaluations raw_y
1 -403.0000000000
2 -309.0000000000
9 -255.0000000000
11 -248.0000000000
31 -208.0000000000
141 -174.0000000000
203 -162.0000000000
232 -141.0000000000
271 -107.0000000000
321 -95.0000000000
341 -89.0000000000
344 -74.0000000000
354 -55.0000000000
407 -48.0000000000
423 -35.0000000000
514 -17.0000000000
539 -9.0000000000
669 -8.0000000000
694 -4.0000000000
716 3.0000000000
845 4.0000000000
1311 5.0000000000
2694 6.0000000000
5000 -8.0000000000
